,Title,Hymn
10,<title>F' ERU re f' afefe - Yoruba Baptist Hymns</title>,"<p>1. F’ ERU re f’ afefe,<br/>
N’ ireti, ma foya,<br/>
Olorun gbo ‘mikanle re,<br/>
Yiop gb’ ori re ga.</p> <p>2. N’ irumi at’ iji,<br/>
Yio s’ ona re fefe,<br/>
Duro de igba re; oru<br/>
Yio pin s’ ojo ayo.</p> <p>3. Iwo r’ ailera wa,<br/>
Inu wa n’ Iwo mo,<br/>
Gbe owo t’ o re si oke,<br/>
M’ ekun ailera le.</p> <p>4. K’ awa n’iye n’ iku,<br/>
So oro Re, tantan;<br/>
K’ a so tit’ opine mi wa,<br/>
Ife itoju Re.</p> "
11,"<title>ALAFIA, li aiye ese yi - Yoruba Baptist Hymns</title>","<p>1. ALAFIA, li aiye ese yi,<br/>
Eje Jesu nwipe, “Alafia!”</p> <p>2. Alafia, ninu opo lala?<br/>
Lati se ife Jesu ni ‘simi.</p> <p>3. Alafia, n’nu igbi ‘banuje?<br/>
L’ aiya Jesu n’ idakeroro wa.</p> <p>4. Alafia, gb’ ara wa wa l’ ajo?<br/>
N’ ipamo Jesu, iberu ko si.</p> <p>5. Alafia, b’ a ko tile m’ ola?<br/>
Sugbo a mo pe Jesu wa lailai.</p> <p>6. Alafia, nigb’ akoko iku?<br/>
Olugbala wa ti segun iku.</p> <p>7. O to: ‘jakadi aiye fere pin,<br/>
Jesu y’ o pe wa s’ orun alafia.</p> "
12,<title>OLUWA l' atilehin mi - Yoruba Baptist Hymns</title>,"<p>1. OLUWA l’ atilehin mi,<br/>
Kini ‘ba te mi ri?<br/>
Eniti O da aiye ro,<br/>
T’ O ta sanma l’ aso.</p> <p>2. Ki nku, nigbati Jesu ji<br/>
Kuro larin iku?<br/>
Okan mi ti gba ‘dariji<br/>
Lowo Olori mi.</p> <p>3. Emi, at’ ohun ti mo ni,<br/>
Y’o je Tire lailai;<br/>
Ohun ti ko to s’ ipo mi,<br/>
L’ ayo mo fi fun O.</p> <p>4. B’ ohun kan si mbe ti ipo<br/>
Ko bere l’ owo mi,<br/>
Ife nla si Olorun to<br/>
Mu mi fi kun pelu.</p> "
13,<title>GB' ori soke alare - Yoruba Baptist Hymns</title>,"<p>1. GB’ ori soke alare,<br/>
Tori ayo nbo l’ owuro,<br/>
Olorun so n’nu oro Re<br/>
Pe ayo ma nbo l’ owuro,</p> <p style=""padding-left: 40px;"">Refrain<br/>
Ayo ma nbo l’ owuro,<br/>
Ayo ma nbo l’ owuro,<br/>
Ekun le pe titi d’ ale<br/>
Sugbon ayo nbo l’ owuro.</p> <p>2. Enyin mimo ma beru mop<br/>
Tori ayo nbo l’ owuro;<br/>
Enyin olofo nu ‘ju nu,<br/>
Tori ayo nbo l’ owuro.</p> <p style=""padding-left: 40px;"">Refrain<br/>
Ayo ma nbo l’ owuro,<br/>
Ayo ma nbo l’ owuro,<br/>
Ekun le pe titi d’ ale<br/>
Sugbon ayo nbo l’ owuro.</p> <p>3. E yo oru fere koja,<br/>
Tori ayo nbo l’ owuro;<br/>
O ‘ro t’ o logo yio si de<br/>
Tori ayo nbo l’ owuro.</p> <p style=""padding-left: 40px;"">Refrain<br/>
Ayo ma nbo l’ owuro,<br/>
Ayo ma nbo l’ owuro,<br/>
Ekun le pe titi d’ ale<br/>
Sugbon ayo nbo l’ owuro.</p> <p>4. Ki gbogbo wa ma yo loni<br/>
Tori ayo nbo l’ owuro.<br/>
Olorun yio n’ omije nu<br/>
Tori ayo nbo l’ owuro.</p> <p style=""padding-left: 40px;"">Refrain<br/>
Ayo ma nbo l’ owuro,<br/>
Ayo ma nbo l’ owuro,<br/>
Ekun le pe titi d’ ale<br/>
Sugbon ayo nbo l’ owuro.</p> "
14,<title>KI nko ohun gbogbo sile - Yoruba Baptist Hymns</title>,"<p>1. KI nko ohun gbogbo sile<br/>
Fun O, Oluwa mi<br/>
O to be, niwon b’ O ti se<br/>
Rekoja ‘yi fun mi.</p> <p>2. Je k’ o lo, iriju Re kan,<br/>
O ju gbogbo re lo;<br/>
Y’o dipo adamu ore,<br/>
Oruko at’ oro.</p> <p>3. Egbarun aiye at’ emi,<br/>
Bi nwon ti kere to!<br/>
L’ egbe Re, Onibu ore,<br/>
Iwo ‘Mole orun.</p> <p>4. Mba le ri ojurere kan<br/>
Lati odo Re wa;<br/>
Mo le p’ adamu ini mi<br/>
Fun ayo ere mi.</p> "
15,<title>F'ORUKO Jesu s' okan re - Yoruba Baptist Hymns</title>,"<p>1. F’ORUKO Jesu s’ okan re<br/>
Om’ egbe on ‘banuje;<br/>
Yio fun o l’ayo oun ‘tunu<br/>
Gbee wo lo s’ibi gbogbo<br/>
Ooko ‘re… ti dun to!<br/>
‘Ret’ aiye, ayo orun<br/>
Ooko ‘re… ti dun to!<br/>
‘Ret’ aiye, ayo orun</p> <p>2. Mu ooko Jesu titi lai<br/>
B’abo laarin idekun<br/>
Bi ‘danwo ba si yi o ka,<br/>
F’ ooko Mimo naa gbadu’a</p> <p>3. A Oruko ‘re ti Jesu<br/>
Bo ti mu k’ emi wa yo<br/>
‘Gbat’ apa ‘fe Re ba gba wa<br/>
T’ ahon wa si korin Re</p> <p>4. Ao juba oruko Jesu<br/>
Ao wole lie se Re<br/>
Oba orun yio de l’ade<br/>
‘Gbat’ ajo wa ba pari.</p> "
16,<title>ENI ba gbekel' Olorun - Yoruba Baptist Hymns</title>,"<p>1. ENI ba gbekel’ Olorun,<br/>
L’ abo l’ orun at’ aiye:<br/>
Eni ba f’ ife wo Jesu,<br/>
Ko s’ eru ti damu re.</p> <p>2. Lara Re nikan, Oluwa,<br/>
Ni mo r’ adun itunu;<br/>
Asa f’ ota at’ ogun mi,<br/>
Igbala mi t’ o daju.</p> <p>3. Nimu ijakadi aiye,,<br/>
Emi o duro sinsin;<br/>
Idanwo y’ o so ‘pa re nu,<br/>
Nitori ‘Wo o so mi.</p> <p>4. Oluwa, se ‘ri ‘bukun Re<br/>
S’ ara ati okan mi:<br/>
Je t’ emi, si se mi n’tire,<br/>
Nitori iku Jesu.</p> "
17,<title>KO si ewa nibikan ti - Yoruba Baptist Hymns</title>,"<p>1. KO si ewa nibikan ti<br/>
Mo le fi we ti Krist’:<br/>
Ohun t’ oku, Oluwa, ni<br/>
K’ a je ‘kan pelu Re.</p> <p>2. Mu imo iku, ife Re<br/>
Wa sinu okan mi:<br/>
F’ ara Re fun mi n’toriti<br/>
‘Wo nikan ni mo fe.</p> <p>3. Ara Re nikan l’ o to mu<br/>
Itunu mi pada;<br/>
Nko le bere, be O ko le<br/>
Fun mi ju ‘ra Re lo.</p> <p>4. Ko mi lati lo ohun ti<br/>
Ki se ‘fe Re sile;<br/>
Oloro ni mo je n’n’ ayo<br/>
B’ Iwo ba je t’ emi.</p> "
18,<title>PIPE n' ise 'gbala - Yoruba Baptist Hymns</title>,"<p>1. PIPE n’ ise ‘gbala,<br/>
Lekan o pari lai;<br/>
Pipe ni ododo,<br/>
Ti o bo elese:<br/>
Ife t’ o bukun wa l’ aiye,<br/>
O nsan l’ ofe nisisiyi.</p> <p>2. Irubo to koja,<br/>
A ke ‘kele meji;<br/>
Ite anu kun fun<br/>
Eje ohun ‘rubo:<br/>
Ese t’ a f’ eru wa l’ ode,<br/>
Eje mimo nwipe k’ a wa.</p> <p>3. Alufa giga wa<br/>
Lori ite anu;<br/>
Eje t’ o mu w ape<br/>
O wa li owo Re:<br/>
E jek’ a f’ igboiya sunmo,<br/>
Eje ni le ifoiya lo.</p> "
19,"<title>NGO fe O, Olorun Baba - Yoruba Baptist Hymns</title>","<p>1. NGO fe O, Olorun Baba,<br/>
Olugbala, Oba mi;<br/>
Ngo fe O, ‘tori laisi Re<br/>
Aiye j’ ohun kikoro.</p> <p>2. Ngo fe O, gbogbo ibukun<br/>
Nsan lat’ ife Re si mi;<br/>
Ngo fe O, enit’ o fe O<br/>
Ko le wa nikan lailai.</p> <p>3. Ngo fe O, ma bojuto mi,<br/>
Ma fi oju Re to mi;<br/>
Ngo fe O, okan mi yio ku<br/>
Bi ko r’ onje ife Re.</p> <p>4. Mo ti j’ eje pe ngo fe O,<br/>
Mo gb’ okan le ife Re;<br/>
Bi mba fe O, nki o gbagbe<br/>
Eje Olugbala mi.</p> "
20,<title>WO Ore okan ti nkanu - Yoruba Baptist Hymns</title>,"<p>1. WO Ore okan ti nkanu!<br/>
T’ O feran nwon titi d’ opin<br/>
Eyi n’ ireti mi ro mo,<br/>
Pe’ “‘Wo o be fun mi.”</p> <p>2. Gbat’ are de n’ ire-ije,<br/>
T’ ib’ isimi mi han lokan,<br/>
Ti nko si gba anu Re gbo,<br/>
‘Gbana k’ O be fun mi.</p> <p>3. ‘Gba mo ba se, ti mo sonu<br/>
Kuro li ona ogbon Re,<br/>
Ti nko si ri olutona,<br/>
Sibe k’ O be fun mi.</p> <p>4. ‘Gb’ ese mi gbo Esu l’ aiya,<br/>
T’ o nfe ja ‘wo mi l’ ara Re;<br/>
Jo! F’ owo anu Re gba mi,<br/>
K’ O si bebe fun mi.</p> <p>5. ‘Gbat’ iku mi nsunmo ‘tosi,<br/>
Ti eru m’ oju mi s’ okun,<br/>
Jo! Han si baibai oju mi,<br/>
Nipo ebe fun mi.</p> "
21,<title>MO ti ni Jesu l'ore - Yoruba Baptist Hymns</title>,"<p>1. MO ti ni Jesu l’ore,<br/>
O j’ ohun gbogbo fun mi,<br/>
On nikan l’arewa ti okan mi fe,<br/>
On n’itanna ipado;<br/>
On ni enikan na<br/>
T’o le we mi nu kuro nin’ese mi;<br/>
Olutunu mi l’ O je,<br/>
N’nu gbogbo wahala,<br/>
On ni ki nk’aniyan mi l’On lori<br/>
On n’Itanna Ipado<br/>
Irawo Owuro<br/>
On nikan l’arewa ti okan mi fe.<br/>
Olutunu mi l’ O je,<br/>
N’nu gbogbo wahala,<br/>
On ni ki nk’aniyan mi l’On lori<br/>
On n’Itanna Ipado<br/>
Irawo Owuro<br/>
On nikan l’arewa ti okan mi fe.</p> <p>2. O gbe gbogbo ‘banuje,<br/>
At’irora mi ru;<br/>
O j’Odi agbara mi n’gba danwo;<br/>
‘T Re mo k’ohun gbogbo,<br/>
Ti mo ti fe sile,<br/>
O si f’agbara Re gbe okan mi ro,<br/>
Bi aiye tile ko mi<br/>
Ti Satan dan mi wo,<br/>
Jesu yio mu d’ opin irin mi:<br/>
On n’ itanna ipado,<br/>
Irawo Owuro<br/>
On nikan l’ Arewa ti okan mi fe,</p> <p>3. On ki y’o fi mi sile<br/>
Be k’yo ko mi nihin,<br/>
N’ iwon ti mba f’ igbagbo p’ ofin Re mo<br/>
O j’ odi ina yi mi ka,<br/>
Ng’ ki y’o beru-keru,<br/>
Y’o fi manna Re b’ okan mi t’ ebi npa;<br/>
Gba mba d’ ade n’ ikehin,<br/>
Ngo r’ oju ‘bukun Re<br/>
Ti adun Re y’o ma san titi lai,<br/>
On n’ Itanna Ipado<br/>
Irawo Owuro<br/>
On nikan l’ Arewa ti okan mi fe,</p> "
22,<title>MO k' ese mi le Jesu - Yoruba Baptist Hymns</title>,"<p>1. MO k’ ese mi le Jesu,<br/>
Od’ agutan mimo;<br/>
O ru gbogbo eru mi,<br/>
O so mi d’ominira;<br/>
Mo rue bi mi to wa<br/>
K’Owe eri minu.<br/>
K’eje Re iyebiye<br/>
Le so mi di funfun.</p> <p>2. Mo k’aini mi le Jesu,<br/>
Tire l’ohun gbogbo;<br/>
O w’arun mi gbogbo san<br/>
O r’emi mi pada.<br/>
Mo ko ibanuje mi,<br/>
Eru at’aniyan,<br/>
Le Jesu, O si gba mi,<br/>
O si gba irora mi.</p> <p>3. Mo gb’okan mi le jesu,<br/>
Okan are mi yi;<br/>
Ow’otun Re gba mi mu,<br/>
Mo simi l’aiya Re;<br/>
Mo fe oruko Jesu,<br/>
Emmanuel’, Kristi,<br/>
Bi orun didun yika,<br/>
Li oruko Re je.</p> <p>4. Mo fe ki nri bi Jesu<br/>
T’ okan Re kun fun ‘fe;<br/>
Mo fe ki nri bi Jesu.<br/>
Omo Mimo Baba;<br/>
Mo fe ki mba Jesu gbe,<br/>
Larin egbe mimo,<br/>
Ki nkorin iyin titi,<br/>
Orin t’ angeli nko.</p> "
23,"<title>MO fe O, Olorun, sugbon - Yoruba Baptist Hymns</title>","<p>1. MO fe O, Olorun, sugbon<br/>
Ki se fun ere kan,<br/>
Ki se nitori’ eniti<br/>
Ko ba fe O yio ku,<br/>
Mo fe O, Olorun, sibe<br/>
Ngo ma fe O titi;<br/>
‘Torip’ Olorun mi ni O,<br/>
Ti O tete fe mi.</p> <p>2. O re ‘ra ‘le nitori mi,<br/>
Titi d’ opin ise;<br/>
O gb’ agbelebu at’ egan,<br/>
At’ itiju fun mi;<br/>
O je ‘rora pupo fun mi,<br/>
O kan ogun eje,<br/>
Ani, ko si ko lati ku<br/>
Fun emi ota Re.</p> <p>3. Ko ha to, Olugbala mi,<br/>
Ki nfe O de opin:<br/>
Ki se lati jere orun,<br/>
Tab’ ifoya ‘parun.<br/>
Ki se nitori ohun kan,<br/>
Tabi fun ere kan:<br/>
Sugbon l’ ofe gege bi O<br/>
Ti fe mi, Oluwa.</p> "
24,<title>OLUWA ib' isadi mi - Yoruba Baptist Hymns</title>,"<p>1. OLUWA ib’ isadi mi,<br/>
‘Wo ni mo gbekele;<br/>
Oro Re gba mi n’ iyanju,<br/>
Emi erupe ‘le.</p> <p>2. Awiye ko si l’ enu mi,<br/>
Ko si ebe miran;<br/>
O to pe Olugbala ku,<br/>
O ku lati gba mi.</p> <p>3. Gba iji idanwo ba nja,<br/>
T’ ota d’ oju ko mi,<br/>
Ite anu li abo mi,<br/>
Reti mi wa loke.</p> <p>4. Kuro ninu ija ahon,<br/>
Okan mi fo si O;<br/>
Ero yi mu okan mi yo<br/>
Pe, “Jesu ku fun mi.”</p> "
25,"<title>Ife orun, o ti dun to - Yoruba Baptist Hymns</title>","<p>1. Ife orun, o ti dun to!<br/>
Gbawo ni ngo ri t’okan mi,<br/>
Y’o kun fun kiki re?<br/>
Okan mi npongbe lati mo<br/>
Riri ife irapada;<br/>
Ife Kristi si mi.</p> <p>2. Ife Re n’ipa ju iku;<br/>
Oro Re awa awamaridi!<br/>
Awon Angeli papa<br/>
Wa ijinle ife yi ti.<br/>
Nwon ko le mo iyanu na<br/>
Giga at’ibu re.</p> <p>3. Olorun nikan l’O le mo,<br/>
Iba je tan ka’le loni;<br/>
L’okan okuta yi!<br/>
Ife nikan ni mo ntoro,<br/>
Ko je ipin mi Oluwa:<br/>
K’ebun yi je t’emi.</p> <p>4. Emi iba le joko lai,<br/>
Bi Maria, l’ese Jesu;<br/>
K’eyi je ayo mi;<br/>
K’oj’aniyan at’ife mi,<br/>
K’o si j’orun fun mi l’aiye,<br/>
Lati ma gb’ohun Re.</p> "
26,<title>Ko s' ona si ayo orun - Yoruba Baptist Hymns</title>,"<p>1. Ko s’ ona si ayo orun,<br/>
S’ ayo at’ alafia toto,<br/>
Lehin Jesu, Ona;<br/>
Jek’ a rin l’ ona mimo na,<br/>
K’ a f’ igbagbo ko ‘rin titi;<br/>
Ao fi ba A joko.</p> <p>2. B’ ife Jesu ti ga to!<br/>
O ga ju orun loke,<br/>
O jin ju ile okun,<br/>
O to bi aiyeraiye;<br/>
Ife t’ o wa mi kiri,<br/>
Ri mi nigbati nko wa.</p> <p>3. Ogbo elese ni mi;<br/>
Sugbon Jesu to fun mi:<br/>
Gbogbo aini mi l’ O mo,<br/>
Gbogbo edun mi, Tire;<br/>
Lodo Re ko s’ iberu,<br/>
On l’ o se emi mi ro.</p> "
27,"<title>NGO feran Re, Wo odi mi - Yoruba Baptist Hymns</title>","<p>1. NGO feran Re, Wo odi mi;<br/>
Ngo feran Re, ‘Wo ayo mi;<br/>
Ngo feran Re, patapata;<br/>
Ngo feran Re, tor’ ise Re,<br/>
Ngo feran Re, tit’ okan mi,<br/>
Y’o fi kun fun ife rere.</p> <p>2. ‘Wo Orun mi, gba ope mi,<br/>
Fun ‘mole Re t’o fi fun mi,<br/>
Gba ope mi, ‘Wo l’ o gba mi<br/>
Lowo awon ti ns’ ota mi.<br/>
Gba ope mi fun ohun Re<br/>
T’ o mu mi yo l’ opolopo.</p> <p>3. N’nu ire-ije l’ aiye,<br/>
Ma se alabojuto mi,<br/>
Fi agbara fun ese mi,<br/>
Ki nle t’ ese m’ ona rere;<br/>
Ki mba le f’ ipa mi gbogbo<br/>
F’ oruko Re t’ o l’ ogo han.</p> <p>4. Ngo feran Re, ‘Wo ade mi,<br/>
Ngo feran Re, Oluwa mi,<br/>
Ngo feran Re, nigbagbogbo,<br/>
L’ ojo ibi, l’ ojo ire,<br/>
Gbati ojo iku ba de,<br/>
Ngo feran Re titi lailai.</p> "
28,<title>BI mo egbarun ebun - Yoruba Baptist Hymns</title>,"<p>1. BI mo egbarun ebun,<br/>
Ngo di mo Jesu ti a pa,<br/>
Y’o je ipile mi;<br/>
‘Tori ko s’ ipile miran,<br/>
Ti mo le gbe ‘reti mi ka,<br/>
Lehin Jesu nikan,</p> <p>2. Mo ni Kristi ni gbogbo mi,<br/>
Ogbon, ipa at’ ododo,<br/>
Ati iwa pipe;<br/>
L’ oruko Re mo n’ igboiya,<br/>
Lati sunmo Oba orun;<br/>
Mo pade are Re.</p> <p>3. Ko s’ ona si ayo orun,<br/>
S’ ayo at’ alafia toto,<br/>
Lehin Jesu, Ona;<br/>
Jek’ a rin l’ ona mimo na,<br/>
K’ a f’ igbagbo ko ‘rin titi;<br/>
Ao fi ba A joko.</p> "
29,<title>B'ORUKO Jesu ti dun to - Yoruba Baptist Hymns</title>,"<p>1. B’ORUKO Jesu ti dun to<br/>
L’ eti olugbagbo!<br/>
O tan ‘banuje on ogbe,<br/>
O le eru re lo.</p> <p>2. O mu ogbe emi re tan,<br/>
O mu aiya bale;<br/>
Manna ni fun okan ebi,<br/>
Isimi f’ alare.</p> <p>3. Ailera l’ agbara ‘nu mi,<br/>
Tutu si l’ ero mi,<br/>
‘Gba mo ba ri O b’ O ti ri,<br/>
Ngo yin O b’ o ti ye;</p> <p>4. Tit’ igbana ni ohun mi<br/>
Y’ o ma rohin ‘fe Re;<br/>
Nigba iku k’ oruko Re,<br/>
F’ itura f’ okan mi.</p> "
